"('literacy', 'actual')",1
"('literacy', 'involve')",1
"('literacy', 'definite')",1
"('literacy', 'express')",1
"('literacy', 'objective')",1
"('literacy', 'pursue')",1
"('literacy', 'think')",1
"('literacy', 'extent')",1
"('literacy', 'sort')",1
"('literacy', 'job')",1
"('literacy', 'evidence')",1
"('literacy', 'kind')",1
"('literacy', 'poverty')",2
"('literacy', 'government')",2
"('literacy', 'successful')",1
"('literacy', 'directly')",1
"('literacy', 'hand')",1
"('literacy', 'program')",4
"('literacy', 'recognize')",1
"('issue', 'literacy')",1
"('literacy', 'level')",2
"('literacy', 'mention')",2
"('literacy', 'essential')",1
"('literacy', 'literacy')",1
"('literacy', 'responsibility')",2
"('literacy', 'primary')",1
"('canadian', 'literacy')",1
"('literacy', 'work')",1
"('range', 'literacy')",1
"('literacy', 'problem')",2
"('position', 'literacy')",1
"('literacy', 'reflect')",1
"('literacy', 'option')",1
"('literacy', 'mean')",2
"('train', 'literacy')",1
"('surround', 'literacy')",1
"('literacy', 'tool')",1
"('literacy', 'variety')",1
"('literacy', 'initiative')",1
"('literacy', 'extend')",1
"('improve', 'literacy')",1
"('literacy', 'throw')",1
"('literacy', 'train')",3
"('literacy', 'crtc')",1
"('literacy', 'people')",1
"('literacy', 'lot')",1
"('literacy', 'fall')",1
"('literacy', 'help')",1
"('literacy', 'champion')",1
"('bite', 'literacy')",1
"('literacy', 'technical')",1
"('literacy', 'country')",1
"('literacy', 'free')",1
"('literacy', 'require')",1
"('literacy', 'time')",2
"('literacy', 'skill')",7
"('literacy', 'couple')",1
"('medium', 'literacy')",2
"('promote', 'literacy')",1
"('fund', 'literacy')",1
"('term', 'literacy')",1
"('literacy', 'comment')",1
"('digital', 'literacy')",100
"('literacy', 'broadband')",1
"('literacy', 'issue')",3
"('literacy', 'move')",1
"('literacy', 'critically')",1
"('literacy', 'telecommunities')",1
"('literacy', 'capacity')",1
"('bridge', 'literacy')",1
"('literacy', 'piece')",3
"('literacy', 'largely')",1
"('spend', 'literacy')",1
"('literacy', 'digital')",2
"('literacy', 'factor')",1
"('literacy', 'increase')",1
"('literacy', 'cost')",1
"('literacy', 'access')",1
"('literacy', 'software')",1
"('literacy', 'conceive')",1
"('thought', 'literacy')",1
"('literacy', 'enhance')",1
"('literacy', 'benefit')",1
"('literacy', 'gap')",1
"('ask', 'literacy')",1
"('literacy', 'education')",1
"('literacy', 'course')",1
"('literacy', 'small')",1
"('literacy', 'ensure')",1
"('literacy', 'potential')",1
"('literacy', 'undertake')",1
"('iterate', 'literacy')",1
"('literacy', 'promote')",1
"('literacy', 'terrific')",1
"('literacy', 'fact')",1
"('literacy', 'bite')",1
"('literacy', 'leave')",1
"('literacy', 'narrow')",1
"('literacy', 'question')",1
"('literacy', 'part')",3
"('literacy', 'learn')",1
"('literacy', 'nowadays')",1
"('literacy', 'deny')",1
"('literacy', 'build')",1
"('literacy', 'huge')",1
"('literacy', 'make')",1
"('literacy', 'type')",2
"('literacy', 'support')",2
"('literacy', 'guess')",1
