optic,362.39410819412365
premise,154.73185765845875
build,74.15116492907407
trunk,46.363255929310704
grid,42.65172327410647
dark,35.121451727180215
network,34.97868361647453
build,33.34297670610775
hybrid,27.42761067646392
node,25.846705803357324
grind,25.57579715455598
infrastructure,25.10065657209867
valley,23.03677422745327
home,22.970734799206497
prem,22.758623279257417
bring,21.256618352590934
deploy,19.09635584346092
nan,18.94629703187364
access,18.22377292641379
backhaul,17.966773248462946
put,17.95871317672397
copper,17.808457837448227
transport,17.748980253891304
deeper,17.22696340764955
fibre,16.405495211366325
fibre,16.405495211366325
roll,15.203726362717434
pop,14.416643332589674
wireless,14.024399919235679
submarine,13.801814262174531
terrestrial,13.389815213877405
line,13.301694878522152
run,12.816577635957865
flin,12.804646256492305
bundle,12.792544642805858
link,12.792544642805858
push,12.792544642805858
feasibility,12.01274405831365
redundancy,12.012744058313647
invest,11.949200214616223
connection,11.748169043524676
backhauled,11.377213492294299
character,11.377213492294299
dawn,11.377213492294299
coaxial,11.377213492294299
cranbrook,11.377213492294299
greenfield,11.377213492294299
homerun,11.377213492294299
mistakenly,11.377213492294299
optique,11.377213492294299
regeneration,11.377213492294299
rollouts,11.377213492294299
lieu,11.377213492294299
variability,11.377213492294299
cross,10.796605177062398
axia,10.796605177062396
service,10.412349621643209
discover,9.876969438834632
install,9.876969438834632
framework,9.827378770515981
direct,9.74715477381914
municipal,9.513801695947336
mix,9.489819398956126
deployment,9.43834500130584
backbone,9.363999568844198
extend,9.363999568844196
plant,9.139199996194654
full,8.93968198172085
run,8.669582009760198
angela,8.611397767272514
eastmain,8.611397767272514
kawartha,8.611397767272514
proviso,8.611397767272514
sleigh,8.611397767272514
superior,8.611397767272514
pioneer,8.611397767272514
scratch,8.611397767272514
superior,8.611397767272514
economically,8.252085233933098
cable,8.186872078856904
